topics,solutions
Do you have a friend you have known for a long time?,"<h5>Section One: WH-Questions and Suggestions</h5>
<p><b>Who</b> is your long-time friend?</p>
<p>Suggestions: name, occupation, general description</p>

<p><b>When</b> did you first meet this friend?</p>
<p>Suggestions: during childhood, in high school, at university</p>

<p><b>Where</b> did you meet this friend?</p>
<p>Suggestions: school, neighborhood, online platforms</p>

<p><b>What</b> are some shared memories with this friend?</p>
<p>Suggestions: memorable trips, significant life events, funny incidents</p>

<p><b>Why</b> do you consider him/her as your long-time friend?</p>
<p>Suggestions: shared interests, trust, mutual support</p>

<h5>Section Two: Example Answers</h5>
<p>My long-time friend is <b>John</b>. We first crossed paths during our high school days. Our friendship commenced in the 9th standard when we were in the same class. John, now an engineer, remains my buddy who stood by me through thick and thin. We’ve made countless unforgettable memories, from pulling all-nighters for exams to embarking on daring adventures.</p>

<p><b>Mary</b> is my oldest friend. We met on an online platform about 15 years ago and bonded over shared interests in art and music, despite living thousands of miles apart. She's an artist now and we have shared countless virtual and personal memories together. Our consistent communication and mutual support have turned our friendship into a lifelong bond.</p>

<p>I met <b>Sarah</b> in my neighborhood when we were kids. For more than two decades now, she has been my consistent comrade. Our friendship bloomed from shared sandbox games to attending the same university and now, navigating through our careers. Despite the physical distance between us, our bond has only grown stronger over the years.</p>"
What do you usually do with your friends?,"<h5>Section 1: WH-Questions and Suggestions</h5>
<p><b>What</b> activities do you frequently participate in with your friends? - Sports, movie nights, dinners, study sessions.</p>
<p><b>Where</b> do you usually meet up with your friends? - Cafes, parks, friends' houses, concert halls.</p>
<p><b>When</b> do you usually spend time with your friends? - Weekends, after school or work, holidays.</p>
<p><b>Why</b> do you enjoy hanging out with your friends? - Shared interests, witty conversations, feeling of camaraderie.</p>
<p><b>Who</b> are the friends you usually hang out with? - School friends, colleagues, childhood friends, online friends.</p>

<h5>Section 2: Example Answers</h5>
<p>I often meet up with my friends - usually my closest school friends - at cafes in the city after school or work. We enjoy hanging out together because we share many common interests, such as a love for music and books. The witty and insightful conversations we have are always a highlight of my day.</p>

<p>My friends and I typically spend our weekends together. We usually gather at one friend's house, alternating every week. The group mostly consists of my childhood friends and a few colleagues. Our common hobby is playing board games. I enjoy these meetups, as the friendly competition creates a feeling of camaraderie among us.</p>

<p>Whenever the holidays roll around, I traditionally go on trips with a group of my close friends. We like to explore different parts of the country, or sometimes even travel abroad. These experiences are always enjoyable as it strengthens our bond even further and gives us memories to look back on.</p>"
Where do you often meet each other?,"<h5>Section 1: WH-questions and suggestions</h5>

<p><strong>Where</strong> do you often meet each other? <br>
Suggestions: location, city, building, coffee shop, park, gym, office, online platforms like Zoom.</p>

<p><strong>When</strong> do you often meet each other? <br>
Suggestions: weekdays, weekends, morning, evenings, during lunch breaks.</p>

<p><strong>Why</strong> do you often meet each other at that particular place? <br>
Suggestions: convenience, proximity, ambiance, facilities, liking.</p>

<p><strong>Who</strong> do you often meet? <br>
Suggestions: friends, family members, colleagues, partners, clients.</p>

<h5>Section 2: Example Answers</h5>

<p>We often meet at a local coffee shop in downtown. This shop is centrally located and easily accessible by everyone. Plus, we all love their coffee and cozy ambiance which makes it the perfect place to catch up.</p>

<p>We meet each weekend at our neighborhood park. The park provides a refreshing and relaxed environment. We enjoy our group workouts here and sometimes play a game or two. It's a place where we de-stress and rejuvenate for the next week.</p>

<p>Our team often meets online on Zoom nowadays due to the pandemic. We meet every Friday afternoon to discuss the week's updates and plan for the next. It's easier and safer to meet virtually in the current scenario.</p>"
Do you often go out with your friends?,"<h5>WH-Questions and Suggestions</h5>

<p><b>Who</b> do you usually go out with? (names of friends, classmates, colleagues, relatives)</p>
<p><b>What</b> activities do you do when you go out? (dinner, movies, shopping, hiking, parties)</p>
<p><b>Where</b> do you often go? (restaurants, cafes, parks, friends' houses, city center, malls)</p>
<p><b>When</b> do you usually hang out? (weekends, after work, holidays, every couple of weeks)</p>
<p><b>Why</b> do you like going out with your friends? (to relax, have fun, escape boredom, maintain social relationships)</p>
<p><b>How</b> often do you go out with your friends? (three times a week, once a month, every weekend, occasionally)</p>

<h5>Sample Answers</h5>

<p>I usually go out with my closest friends, who are my college classmates. We love catching up over dinner at local restaurants or food joints and sometimes we feel adventurous and try out new places. We mostly hang out during the weekends or sometimes after work. For me, it's a great way to relax and maintain our friendship.</p>

<p>I go out with my friends once a week, usually over the weekend. We take turns suggesting different activities but we most often end up watching a movie or shopping. I think it’s because these activities give us the chance to relax, enjoy ourselves, and bond over common interests.</p>

<p>I do not go out with my friends too often, as we all have very busy schedules. When we do manage to find a common free day, usually during a holiday, we like to go hiking or simply chill at one of our houses. For me, these outings are refreshing breaks from my routine and they help to strengthen our bond.</p>"
How important are friends to you?,"<h5>Section One: WH-Questions and Suggestions</h5>
<p><b>What</b> roles do friends play in your life?</p>
<p>Suggestions: Emotional support, Shared experiences, Personal growth</p>

<p><b>Why</b> do you value your friendships?</p>
<p>Suggestions: Happiness, Company, Trust and loyalty, Understanding</p>

<p><b>Which</b> friend has made the most impact in your life and <b>how</b>?</p>
<p>Suggestions: Guidance, mentorship, Positivity, Life-changing experience</p>

<h5>Section Two: Examples</h5>

<p>Friends play a vital role in my life as they offer emotional support, enable shared experiences which bring joy, and contribute to personal growth. They are the ones I turn to when times are tough and they provide much-needed reassurance or advice.</p>

<p>I value my friendships because they bring happiness into my life. The company of my friends provides a welcome escape from the daily grind. Trust and loyalty are fundamental in my relationships, and it's these qualities I hold dear in my friends. They genuinely understand me for who I am, which brings a great deal of comfort.</p>

<p>Out of all my friends, Jane has had the biggest impact on my life. Her positivity and zest for life are truly infectious. She has guided me through some of the roughest patches of my life, acting as both a mentor and a friend. Our friendship has been a life-changing experience.</p>"
"Which do you prefer, reading books or watching movies?","<h5>Section 1: WH-questions and Suggestions</h5>
<p><b>What</b> kind of stories do you most enjoy?</p>
<p>Examples: Romantic novels, thrillers, historical films, sci-fi movies</p>
<p><b>Why</b> do you prefer one over the other?</p>
<p>Examples: More detailed descriptions, ability to imagine, easily accessible, visual effects</p>
<p><b>When</b> do you usually read or watch movies?</p>
<p>Examples: Before bed, weekends, during commutes, in spare time</p>
<p><b>How</b> does your choice affect your daily life and convenience?</p>
<p>Examples: Portable, takes up more time, requires a setup and specific environment</p>

<h5>Section 2: Example Answers</h5>
<p>I prefer reading books as I have always enjoyed the detailed descriptions and elaborate storytelling provided in novels. Books inspire my imagination and make me think deeper about the plots and characters. I usually read before bedtime as it helps me to relax, although it does take up more of my spare time compared to watching movies.</p>
<p>As a fan of visual effects and graphic storytelling, watching movies is my preference. Their ability to express stories vividly through images and sounds fascinates me. Moreover, I often watch movies during weekends when I have spare time. Despite requiring a TV setup, it is a more easily accessible form of entertainment for me.</p>
<p>I typically lean towards reading books more as I love the sense of anticipation and the thrill of turning each page. I find it much more satisfying than watching movies, especially when it comes to mystery and thriller genres. I often read during my commute, which makes it a convenient choice for me even though it can be less immersive than watching movies.</p>"
Have you ever read a novel that has been adapted into a film?,"<h5>Section 1: WH-questions and Suggestions</h5>

<p><b>What</b> is the novel's title and who is the author?</p> 
<p>Suggestions: Name of the book, author's name</p>

<p><b>Who</b> directed the film adaptation and who starred in it?</p> 
<p>Suggestions: Director's name, main actors and actresses</p>

<p><b>When</b> was the novel published and when was the film released?</p> 
<p>Suggestions: Publication date, film release date</p>

<p><b>How</b> does the film differ from the novel?</p> 
<p>Suggestions: Differences in plot, characters, themes, or settings</p>

<p><b>Did</b> you enjoy the book more than the film, or vice versa?</p> 
<p>Suggestions: Personal opinion, comparison, reasons</p>

<h5>Section 2: Examples</h5>

<p>The novel I read was ""The Great Gatsby"" by F. Scott Fitzgerald. The film adaptation was directed by Baz Luhrmann, and it starred Leonardo DiCaprio as Jay Gatsby. The novel was published in 1925, while the film was released in 2013. There were some differences between the film and the novel, such as the use of modern music in the film. Personally, I enjoyed the novel more because of its immersive descriptions and intricate character relationships.</p>

<p>One of the novels I've read that was adapted into a film is ""Harry Potter and the Philosopher's Stone"" by J.K. Rowling. The film was directed by Chris Columbus and starred Daniel Radcliffe as Harry Potter. The book was published in 1997, and the film was released in 2001. The main difference between the book and the film was that some minor scenes from the book were excluded from the film. I loved both the book and the film equally as they both provide different experiences to the story.</p>

<p>I have read ""The Hunger Games"" by Suzanne Collins, which was adapted into a movie. The film was directed by Gary Ross and Jennifer Lawrence played the lead role as Katniss Everdeen. The novel was published in 2008, and the film was released in 2012. The film stayed quite true to the book but certain backstories were missing, making the characters in the movie a bit less developed. I enjoyed the book more as it gave more insight into Katniss's thoughts and feelings.</p>"
Are your reading habits now different than before?,"<h5>Section 1: WH-Questions and Suggestions</h5>
<p><b>What</b> genres or authors do you read now compared to before?</p>
<p>Suggestions: types of books, favorite authors, evolution of taste.</p>

<p><b>When</b> do you find time to read now and how has it changed over time?</p>
<p>Suggestions: reading schedule, time management, changes in daily routine.</p>

<p><b>Where</b> do you usually read your books now as opposed to before?</p>
<p>Suggestions: favorite reading spots, change in environment, comfort places.</p>

<p><b>Why</b> have these changes occured?</p>
<p>Suggestions: shift of interests, lifestyle changes, career advancements.</p>

<p><b>How</b> have your reading habits affected your life?</p>
<p>Suggestions: influence on personal life, effects on career, impacts on relationships.</p>

<h5>Section 2: Sample Answers</h5>
<p>Compared to my earlier days, I have made a massive shift in my reading tastes. <b>What</b> I appreciate more now are metaphysical and philosophical books, it's quite different from the fantasy toggles I used to drown myself in. Authors like Eckhart Tolle and Deepak Chopra have taken places of J.K. Rowling and J.R.R. Tolkien on my reading list.</p>

<p>As a result of my demanding career, <b>when</b> I read has significantly changed. I now have a specific time devoted for reading - an hour before sleep. As opposed to my previous unstructured and sporadic reading hours, I have found this approach more comforting and rewarding. </p>

<p>Occasionally, I read at local library on weekends or sometimes even in a quiet park. Interestingly, I wasn't very particular about <b>where</b> I read before. Whether it was in a bustling café or in the comfort of my bed, as long as I had a book, everything else blurred out. </p>"
Do you often read books? When?,"<h5>Section 1: WH-questions and Suggestions</h5>

<p><b>WH-questions:</b>
<br>1. When do you usually read books?
<br>2. What types of books do you prefer reading?
<br>3. Where do you like to read books?
<br>4. Why do you choose to read books?
<br>5. How often do you read books?
</p>

<p>Suggestions in Phrases and Words:
<br>Every evening, biographies, in my home study, for expanding knowledge, once a week, on the commute, thrillers, escape reality, twice a day, historical fiction, in the park, for leisure, every month, how-to books, at the library, for self-improvement, thrice a week.</p>

<h5>Section 2: Examples of Responses</h5>

<p>Example 1: <b>I usually read books every evening</b>. My preference leans towards biographies as I am intrigued by people's lives and experiences. I enjoy reading in the tranquility of my home study, it helps me absorb the text better. <b>The main reason I choose to read books</b> is to expand my knowledge and understanding. </p>

<p>Example 2: I have formed a habit of reading books <b>on my commute to work, at least twice a day</b>. I find thrillers captivating as they keep me engaged and make my travel time enjoyable. <b>Reading allows me to escape the reality</b> of a crowded train and immerse myself in an alternate world. </p>

<p>Example 3: I read books somewhat infrequently, about <b>once every month</b>. I enjoy historical fiction as they allow me to explore different time periods and cultures. My favorite place to read is nestled under a tree in the park. <b>I choose to read for leisure</b>, giving me moments of peace in a busy schedule. </p>"
Do you read more or less now than when you were younger?,"<h5>WH-Questions and Suggestions for Phrases and Words</h5>

<p><b>What</b> types of books or articles do you read more now?</p>
<p>Suggestions: novels, newspapers, scientific research papers, magazines, eBooks</p>

<p><b>When</b> do you find you read the most compared to when you were younger?</p>
<p>Suggestions: during commute, before bed, weekends, mornings</p>

<p><b>Why</b> do you think your reading habits have changed?</p>
<p>Suggestions: job requirements, educational purposes, personal interest, lack of spare time, the growth of digital device usage</p>

<p><b>How</b> much time do you spend reading now as opposed to when you were younger?</p>
<p>Suggestions: hours per day, books per month</p>

<h5>Examples:</h5>

<p>In comparison to when I was younger, my reading habits have significantly increased. <b>What</b> I read, however, has shifted from mostly fiction novels to a more diverse range of subjects including scientific research papers, news articles, and books related to my field of work.
<b>When</b> I read has also changed, as I now tend to read most often during my daily commute and before bedtime. This drastic shift in my reading habits is largely due to the demands of my job and my interest in ongoing learning.</p>

<p>My reading habits have remained rather consistent since my younger years. <b>What</b> I read has marginally shifted; now, it involves more industry-specific articles and books, as opposed to the general knowledge or fiction I used to indulge in during college. <b>When</b> has not essentially changed, as I still make time to read during my leisure hours. The prime reason for this consistency is my enduring love for books and reading.</p>

<p>While I used to be an avid reader as a child, as an adult, I find myself reading considerably less. In my early years, books were an escape and my main form of entertainment. I would spend countless hours immersed in various fantasy novels. Now, I find myself reading more work-related articles and informative blogs. My reading is no longer restricted to leisure hours; it now forms a significant part of my professional life. This shift can be attributed to a change in <b>why</b> I read - from pleasure to knowledge acquisition.</p>"
Do you like the morning or evening?,"<h5>WH-questions and Suggestions for Answering ""Do you like the morning or evening?""</h5>

<p><b>What</b> do you enjoy about the morning or evening? (activities, weather, peacefulness)</p>
<p><b>When</b> do you feel most productive or inspired, in the morning or evening? (work performance, creativity, attentiveness)</p>
<p><b>Where</b> do you like to spend time in the morning or evening? (indoor, outdoor, favorite locations)</p>
<p><b>Why</b> do you prefer the morning or evening? (physical feeling, mood, personal beliefs)</p>

<h5>Examples of Answers</h5>

<p>I really appreciate the calmness of the evening. After a long day of work, there's nothing more satisfying than winding down with a good book or a movie. I also find that the cooler temperatures make it the perfect time for a quiet walk in my neighbourhood.</p>

<p>I am definitely a morning person. I love starting my day with some light exercise and meditation. I find that this routine not only energizes me for the rest of the day but also helps me maintain a positive mood. Also, I feel most productive in the morning when my mind is fresh.</p>

<p>I enjoy both the morning and evening for different reasons. In the morning, I love how the world seems to wake up with me, it fills me with motivation to start the day. Whereas, the evening is when I have time for myself and my hobbies. Overall, it's the balance of both that I cherish.</p>"
